Timestamp,Frame,TrackID,RangeBin,HeartRate_BPM,BreathRate_BPM,BreathDeviation
'2026-03-13 21:21:28,16,0,20,77.00859833,0,0.000976897
'2026-03-13 21:21:30,32,0,20,60.26760101,20.08919907,0.001852152
'2026-03-13 21:21:31,48,0,20,60.26760101,15.06690025,0.004597778
'2026-03-13 21:21:32,64,0,20,60.26760101,18.4151001,0.007400006
'2026-03-13 21:21:34,80,0,20,50.22299957,20.08919907,0.013818646
'2026-03-13 21:21:35,96,0,20,70.31220245,6.696400166,0.016317092
'2026-03-13 21:21:37,112,0,20,65.28990173,18.4151001,0.018451225
'2026-03-13 21:21:38,128,0,20,53.57120132,18.4151001,0.023059603
'2026-03-13 21:21:40,144,0,20,77.00859833,18.4151001,0.042547971
'2026-03-13 21:21:41,160,0,20,66.96399689,8.370499611,0.151296705
'2026-03-13 21:21:43,176,0,20,66.96399689,15.06690025,0.142484188
'2026-03-13 21:21:44,192,0,20,56.91939926,15.06690025,0.170468614
'2026-03-13 21:21:45,208,0,20,65.28990173,21.76329994,0.190858856
'2026-03-13 21:21:47,224,0,20,66.96399689,15.06690025,0.175186262
'2026-03-13 21:21:48,240,0,20,65.28990173,10.04459953,0.124363743
'2026-03-13 21:21:50,256,0,20,66.96399689,10.04459953,0.121697128
'2026-03-13 21:21:51,272,0,20,66.96399689,21.76329994,0.159479722
'2026-03-13 21:21:53,288,0,20,65.28990173,21.76329994,0.122382872
'2026-03-13 21:21:54,304,0,20,50.22299957,16.74099922,0.068623789
'2026-03-13 21:21:56,320,0,20,78.68270111,13.39280033,0.066518426
'2026-03-13 21:21:57,336,0,20,50.22299957,13.39280033,0.04875334
'2026-03-13 21:21:58,352,0,20,50.22299957,13.39280033,0.029374387
'2026-03-13 21:22:00,368,0,20,61.94169998,6.696400166,0.028311228
'2026-03-13 21:22:01,384,0,20,50.22299957,11.71870041,0.031052768
'2026-03-13 21:22:03,400,0,20,50.22299957,13.39280033,0.025906049
'2026-03-13 21:22:04,416,0,20,55.24530029,8.370499611,0.012310942
'2026-03-13 21:22:06,432,0,20,56.91939926,11.71870041,0.011245424
'2026-03-13 21:22:07,448,0,20,50.22299957,13.39280033,0.053922698
'2026-03-13 21:22:08,464,0,20,56.91939926,11.71870041,0.03767943
'2026-03-13 21:22:10,480,0,20,56.91939926,11.71870041,0.030339254
'2026-03-13 21:22:11,496,0,20,56.91939926,11.71870041,0.024042962
'2026-03-13 21:22:13,512,0,20,61.94169998,10.04459953,0.023833133
'2026-03-13 21:22:14,528,0,20,53.57120132,6.696400166,0.017161611
'2026-03-13 21:22:16,544,0,20,51.89709854,10.04459953,0.028545529
'2026-03-13 21:22:17,560,0,20,51.89709854,5.022299767,0.002177842
'2026-03-13 21:22:19,576,0,20,60.26760101,10.04459953,0.002581995
'2026-03-13 21:22:20,592,0,20,61.94169998,10.04459953,0.002844415
'2026-03-13 21:22:21,608,0,20,61.94169998,10.04459953,0.003063271
'2026-03-13 21:22:23,624,0,20,61.94169998,10.04459953,0.003279374
'2026-03-13 21:22:24,640,0,20,61.94169998,8.370499611,0.003480323
'2026-03-13 21:22:26,656,0,20,63.61579895,6.696400166,0.001556959
'2026-03-13 21:22:27,672,0,20,63.61579895,8.370499611,0.001619849
'2026-03-13 21:22:29,688,0,20,63.61579895,8.370499611,0.000471371
'2026-03-13 21:22:30,704,0,20,61.94169998,8.370499611,0.000115725
'2026-03-13 21:22:32,720,0,20,61.94169998,6.696400166,9.83E-05
'2026-03-13 21:22:33,736,0,20,61.94169998,6.696400166,0.000113757
'2026-03-13 21:22:34,752,0,20,61.94169998,6.696400166,0.003625277
'2026-03-13 21:22:36,768,0,20,61.94169998,8.370499611,0.019428927
'2026-03-13 21:22:37,784,0,20,61.94169998,8.370499611,0.029710148
'2026-03-13 21:22:39,800,0,20,61.94169998,8.370499611,0.051831931
'2026-03-13 21:22:40,816,0,20,61.94169998,20.08919907,0.071718454
'2026-03-13 21:22:42,832,0,20,61.94169998,8.370499611,0.060085423
'2026-03-13 21:22:43,848,0,20,63.61579895,10.04459953,0.060275186
'2026-03-13 21:22:44,864,0,20,63.61579895,10.04459953,0.060670976
'2026-03-13 21:22:46,880,0,20,61.94169998,8.370499611,0.060776096
'2026-03-13 21:22:47,896,0,20,61.94169998,21.76329994,0.047486562
'2026-03-13 21:22:49,912,0,20,61.94169998,13.39280033,0.027711928
'2026-03-13 21:22:50,928,0,20,61.94169998,10.04459953,0.018832199
'2026-03-13 21:22:52,944,0,20,58.59349823,6.696400166,0.023373492
'2026-03-13 21:22:53,960,0,20,51.89709854,13.39280033,0.05711351
'2026-03-13 21:22:55,976,0,20,53.57120132,13.39280033,0.081700116
